"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA001108395","1957-07-25","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  217",",,S","  111",",,S","  162","H,,S",,,,
"CA001108395","1957-07-26","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    3",",,S",,,,,"  211",",,S","  111",",,S","  164","H,,S",,,,
"CA001108395","1957-07-27","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    5",",,S",,,,,"  206",",,S","  111",",,S","  148","H,,S",,,,
"CA001108395","1957-07-28","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   79",",,S",,,,,"  178",",,S","  111",",,S","  150","H,,S",,,,
"CA001108395","1957-07-29","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   61",",,S",,,,,"  200",",,S","  133",",,S","  169","H,,S",,,,
"CA001108395","1957-07-30","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  222",",,S","  117",",,S","  168","H,,S",,,,
"CA001108395","1957-07-31","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  206",",,S","  100",",,S","  154","H,,S",,,,
"CA001108395","1957-08-01","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  211",",,S","  100",",,S","  167","H,,S",,,,
"CA001108395","1957-08-02","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   30",",,S",,,,,"  194",",,S","  100",",,S","  153","H,,S",,,,
"CA001108395","1957-08-03","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  217",",,S","  100",",,S","  168","H,,S",,,,
"CA001108395","1957-08-04","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   71",",,S",,,,,"  194",",,S","  122",",,S","  170","H,,S",,,,
"CA001108395","1957-08-05","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  222",",,S","  128",",,S","  171","H,,S",,,,
"CA001108395","1957-08-06","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  217",",,S","  122",",,S","  175","H,,S",,,,
"CA001108395","1957-08-07","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   30",",,S",,,,,"  217",",,S","  122",",,S","  171","H,,S",,,,
"CA001108395","1957-08-08","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   79",",,S",,,,,"  189",",,S","  133",",,S","  169","H,,S",,,,
"CA001108395","1957-08-09","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    3",",,S",,,,,"  211",",,S","  133",",,S","  174","H,,S",,,,
"CA001108395","1957-08-10","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   20",",,S",,,,,"  206",",,S","  133",",,S","  174","H,,S",,,,
"CA001108395","1957-08-11","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  211",",,S","  133",",,S","  168","H,,S",,,,
"CA001108395","1957-08-12","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    5",",,S",,,,,"  206",",,S","  133",",,S","  162","H,,S",,,,
"CA001108395","1957-08-13","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    3",",,S",,,,,"  222",",,S","  122",",,S","  175","H,,S",,,,
"CA001108395","1957-08-14","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  206",",,S","  111",",,S","  167","H,,S",,,,
"CA001108395","1957-08-15","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  217",",,S","  111",",,S","  179","H,,S",,,,
"CA001108395","1957-08-16","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  244",",,S","  117",",,S","  179","H,,S",,,,
"CA001108395","1957-08-17","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","  122",",,S","  182","H,,S",,,,
"CA001108395","1957-08-18","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  122",",,S","  178","H,,S",,,,
"CA001108395","1957-08-19","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  217",",,S","  122",",,S","  179","H,,S",,,,
"CA001108395","1957-08-20","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  217",",,S","  139",",,S","  172","H,,S",,,,
"CA001108395","1957-08-21","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  117",",,S","  171","H,,S",,,,
"CA001108395","1957-08-22","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  117",",,S","  178","H,,S",,,,
"CA001108395","1957-08-23","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  244",",,S","  122",",,S","  175","H,,S",,,,
"CA001108395","1957-08-24","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   51",",,S",,,,,"  206",",,S","  139",",,S","  168","H,,S",,,,
"CA001108395","1957-08-25","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  200",",,S","  100",",,S","  153","H,,S",,,,
"CA001108395","1957-08-26","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  200",",,S","  100",",,S","  152","H,,S",,,,
"CA001108395","1957-08-27","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","  100",",,S","  160","H,,S",,,,
"CA001108395","1957-08-28","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  206",",,S","  100",",,S","  154","H,,S",,,,
"CA001108395","1957-08-29","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  217",",,S","  100",",,S","  158","H,,S",,,,
"CA001108395","1957-08-30","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  100",",,S","  156","H,,S",,,,
"CA001108395","1957-08-31","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  233",",,S","  100",",,S","  165","H,,S",,,,
"CA001108395","1957-09-01","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  106",",,S","  172","H,,S",,,,
"CA001108395","1957-09-02","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   10",",,S",,,,,"  211",",,S","  128",",,S","  164","H,,S",,,,
"CA001108395","1957-09-03","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  217",",,S","  111",",,S","  168","H,,S",,,,
"CA001108395","1957-09-04","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","  111",",,S","  165","H,,S",,,,
"CA001108395","1957-09-05","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  256",",,S","  117",",,S","  186","H,,S",,,,
"CA001108395","1957-09-06","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   61",",,S",,,,,"  200",",,S","  150",",,S","  177","H,,S",,,,
"CA001108395","1957-09-07","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","  180",",,S",,,,,"  217",",,S","  106",",,S","  154","H,,S",,,,
"CA001108395","1957-09-08","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   61",",,S",,,,,"  194",",,S","  106",",,S","  146","H,,S",,,,
"CA001108395","1957-09-09","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  194",",,S","  106",",,S","  147","H,,S",,,,
"CA001108395","1957-09-10","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  194",",,S","  106",",,S","  158","H,,S",,,,
"CA001108395","1957-09-11","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  194",",,S","  117",",,S","  165","H,,S",,,,
"CA001108395","1957-09-12","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  211",",,S","  117",",,S","  165","H,,S",,,,
"CA001108395","1957-09-13","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","  117",",,S","  175","H,,S",,,,
"CA001108395","1957-09-14","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  106",",,S","  174","H,,S",,,,
"CA001108395","1957-09-15","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","  106",",,S","  168","H,,S",,,,
"CA001108395","1957-09-16","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  228",",,S","  117",",,S","  169","H,,S",,,,
"CA001108395","1957-09-17","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  189",",,S","  128",",,S","  160","H,,S",,,,
"CA001108395","1957-09-18","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   10",",,S",,,,,"  200",",,S","   78",",,S","  138","H,,S",,,,
"CA001108395","1957-09-19","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  194",",,S","   67",",,S","  136","H,,S",,,,
"CA001108395","1957-09-20","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  183",",,S","   67",",,S","  132","H,,S",,,,
"CA001108395","1957-09-21","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  189",",,S","   78",",,S","  136","H,,S",,,,
"CA001108395","1957-09-22","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  189",",,S","   78",",,S","  154","H,,S",,,,
"CA001108395","1957-09-23","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  206",",,S","   78",",,S","  153","H,,S",,,,
"CA001108395","1957-09-24","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  217",",,S","   83",",,S","  161","H,,S",,,,
"CA001108395","1957-09-25","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  222",",,S","   94",",,S","  157","H,,S",,,,
"CA001108395","1957-09-26","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  200",",,S","  106",",,S","  157","H,,S",,,,
"CA001108395","1957-09-27","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    3",",,S",,,,,"  200",",,S","  128",",,S","  164","H,,S",,,,
"CA001108395","1957-09-28","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   20",",,S",,,,,"  222",",,S","  139",",,S","  179","H,,S",,,,
"CA001108395","1957-09-29","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  222",",,S","   94",",,S","  154","H,,S",,,,
"CA001108395","1957-09-30","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  194",",,S","   89",",,S","  144","H,,S",,,,
"CA001108395","1957-10-01","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  211",",,S","   89",",,S","  154","H,,S",,,,
"CA001108395","1957-10-02","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   71",",,S",,,,,"  206",",,S","  111",",,S","  142","H,,S",,,,
"CA001108395","1957-10-03","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  150",",,S","   61",",,S","  101","H,,S",,,,
"CA001108395","1957-10-04","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  128",",,S","   50",",,S","   89","H,,S",,,,
"CA001108395","1957-10-05","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  133",",,S","   44",",,S","   99","H,,S",,,,
"CA001108395","1957-10-06","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  144",",,S","   44",",,S","   86","H,,S",,,,
"CA001108395","1957-10-07","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  128",",,S","   17",",,S","   69","H,,S",,,,
"CA001108395","1957-10-08","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  122",",,S","   17",",,S","   77","H,,S",,,,
"CA001108395","1957-10-09","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  150",",,S","   39",",,S","  119","H,,S",,,,
"CA001108395","1957-10-10","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  156",",,S","   61",",,S","  117","H,,S",,,,
"CA001108395","1957-10-11","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  167",",,S","   61",",,S","  117","H,,S",,,,
"CA001108395","1957-10-12","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  183",",,S","   67",",,S","  138","H,,S",,,,
"CA001108395","1957-10-13","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","  109",",,S",,,,,"  167",",,S","   94",",,S","  127","H,,S",,,,
"CA001108395","1957-10-14","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   41",",,S",,,,,"  161",",,S","   78",",,S","  114","H,,S",,,,
"CA001108395","1957-10-15","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  133",",,S","   11",",,S","   81","H,,S",,,,
"CA001108395","1957-10-16","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  122",",,S","   11",",,S","   79","H,,S",,,,
"CA001108395","1957-10-17","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  111",",,S","   22",",,S","   74","H,,S",,,,
"CA001108395","1957-10-18","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  122",",,S","   11",",,S","   58","H,,S",,,,
"CA001108395","1957-10-19","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  117",",,S","    6",",,S","   89","H,,S",,,,
"CA001108395","1957-10-20","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  128",",,S","   -6",",,S","   82","H,,S",,,,
"CA001108395","1957-10-21","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  128",",,S","   -6",",,S","   68","H,,S",,,,
"CA001108395","1957-10-22","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  117",",,S","   22",",,S","   89","H,,S",,,,
"CA001108395","1957-10-23","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   20",",,S",,,,,"  106",",,S","   33",",,S","   53","H,,S",,,,
"CA001108395","1957-10-24","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","  269",",,S",,,,,"  133",",,S","   33",",,S","   97","H,,S",,,,
"CA001108395","1957-10-25","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   30",",,S",,,,,"  161",",,S","   89",",,S","  121","H,,S",,,,
"CA001108395","1957-10-26","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   61",",,S",,,,,"  144",",,S","  106",",,S","  121","H,,S",,,,
"CA001108395","1957-10-27","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   20",",,S",,,,,"  156",",,S","   67",",,S","  102","H,,S",,,,
"CA001108395","1957-10-28","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  128",",,S","   67",",,S","   96","H,,S",,,,
"CA001108395","1957-10-29","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   41",",,S",,,,,"  111",",,S","   89",",,S","  100","H,,S",,,,
"CA001108395","1957-10-30","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","  150",",,S",,,,,"  133",",,S","   94",",,S","  122","H,,S",,,,
"CA001108395","1957-10-31","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  150",",,S","   72",",,S","   89","H,,S",,,,
"CA001108395","1957-11-01","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  111",",,S","    6",",,S","   71","H,,S",,,,
"CA001108395","1957-11-02","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  100",",,S","    0",",,S","   61","H,,S",,,,
"CA001108395","1957-11-03","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  100",",,S","    0",",,S","   53","H,,S",,,,
"CA001108395","1957-11-04","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  106",",,S","  -11",",,S","   48","H,,S",,,,
"CA001108395","1957-11-05","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  111",",,S","  -11",",,S","   46","H,,S",,,,
"CA001108395","1957-11-06","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  100",",,S","   -6",",,S","   57","H,,S",,,,
"CA001108395","1957-11-07","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  111",",,S","    6",",,S","   47","H,,S",,,,
"CA001108395","1957-11-08","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"   89",",,S","    6",",,S","   46","H,,S",,,,
"CA001108395","1957-11-09","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"   83",",,S","    6",",,S","   57","H,,S",,,,
"CA001108395","1957-11-10","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"  106",",,S","   17",",,S","   90","H,,S",,,,
"CA001108395","1957-11-11","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   89",",,S",,,,,"  144",",,S","   78",",,S","   98","H,,S",,,,
"CA001108395","1957-11-12","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","  130",",,S",,,,,"  111",",,S","   72",",,S","   84","H,,S",,,,
"CA001108395","1957-11-13","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","  180",",,S",,,,,"  122",",,S","   56",",,S","   97","H,,S",,,,
"CA001108395","1957-11-14","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","  109",",,S",,,,,"  111",",,S","   56",",,S","   77","H,,S",,,,
"CA001108395","1957-11-15","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  111",",,S","   50",",,S","   71","H,,S",,,,
"CA001108395","1957-11-16","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   30",",,S",,,,,"   94",",,S","  -11",",,S","   52","H,,S",,,,
"CA001108395","1957-11-17","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"  100",",,S","  -11",",,S","   42","H,,S",,,,
"CA001108395","1957-11-18","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   61",",,S",,,,,"   72",",,S","   17",",,S","   58","H,,S",,,,
"CA001108395","1957-11-19","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   10",",,S",,,,,"   78",",,S","   28",",,S","   54","H,,S",,,,
"CA001108395","1957-11-20","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"   72",",,S","  -44",",,S","   24","H,,S",,,,
"CA001108395","1957-11-21","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA",,,,,,,"   72",",,S","  -44",",,S","   15","H,,S",,,,
"CA001108395","1957-11-22","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   10",",,S",,,,,"   56",",,S","  -22",",,S","   39","H,,S",,,,
"CA001108395","1957-11-23","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   10",",,S",,,,,"   83",",,S","   22",",,S","   76","H,,S",,,,
"CA001108395","1957-11-24","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   10",",,S",,,,,"  106",",,S","   50",",,S","   82","H,,S",,,,
"CA001108395","1957-11-25","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    3",",,S",,,,,"   94",",,S","   61",",,S","   86","H,,S",,,,
"CA001108395","1957-11-26","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   30",",,S",,,,,"  122",",,S","   50",",,S","   66","H,,S",,,,
"CA001108395","1957-11-27","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    3",",,S",,,,,"   89",",,S","   33",",,S","   62","H,,S",,,,
"CA001108395","1957-11-28","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","   71",",,S",,,,,"   78",",,S","   -6",",,S","   49","H,,S",,,,
"CA001108395","1957-11-29","49.2","-123.1833","4.0","VANCOUVER INTERNATIONAL A, BC CA","    0",",,S",,,,,"   83",",,S","   -6",",,S","   38","H,,S",,,,
